thomas_num,thomas_name,id,icpsr,congress,year,st_name,cd,Democrat?,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,LES,LES Rank In Party,Total in Party,Benchmark,Expectations?
37,"Bowen, David",932402,14005,93,1973-74,MS,2,1,0,0,0,0,0,24,1,1,1,1,1,0,0,0,0,0.588102043,133,244,0.483736724,Meets Expectations
38,"Brademas, John",931403,948,93,1973-74,IN,3,1,8,7,8,7,3,49,0,0,0,0,2,0,0,0,0,5.620785236,14,244,1.611568451,Exceeds Expectations
39,"Brasco, Frank",933211,11004,93,1973-74,NY,11,1,0,0,0,0,0,15,1,1,1,1,7,1,1,0,0,0.585254312,134,244,0.564963818,Meets Expectations
40,"Bray, William",931406,986,93,1973-74,IN,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0.031010453,185,196,0.569173932,Below Expectations
41,"Breaux, John",931807,13056,93,1973-74,LA,7,1,1,1,1,1,1,44,0,0,0,0,0,0,0,0,0,1.163800001,92,244,0.483736724,Exceeds Expectations
42,"Breckinridge, John",931706,14006,93,1973-74,KY,6,1,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0.483700216,142,244,0.483736724,Meets Expectations
43,"Brinkley, Jack",931003,11005,93,1973-74,GA,3,1,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0.217073172,179,244,0.564963818,Below Expectations
44,"Brooks, Jack",934309,1077,93,1973-74,TX,9,1,3,3,3,3,0,12,2,2,2,1,0,0,0,0,0,2.58659482,41,244,1.692795634,Exceeds Expectations
45,"Broomfield, William",932219,1087,93,1973-74,MI,19,0,0,0,0,0,0,40,0,0,0,0,3,0,0,0,0,0.209837392,91,196,0.487946808,Below Expectations
46,"Brotzman, Donald",930602,10572,93,1973-74,CO,2,0,2,1,1,0,0,59,0,0,0,0,4,1,1,1,1,0.797007978,27,196,0.406719685,Exceeds Expectations
47,"Brown, Clarence",933507,10786,93,1973-74,OH,7,0,2,1,1,0,0,23,1,1,1,1,1,0,0,0,0,0.978265464,19,196,0.379643977,Exceeds Expectations
48,"Brown, Gary",932203,11006,93,1973-74,MI,3,0,0,0,0,0,0,17,0,0,0,0,2,0,0,0,0,0.089930311,146,196,0.352568269,Below Expectations
49,"Brown, George",930538,10573,93,1973-74,CA,38,1,0,0,0,0,0,47,0,0,0,0,3,1,1,1,1,0.338621587,157,244,0.483736724,Meets Expectations
50,"Broyhill, James",933310,10574,93,1973-74,NC,10,0,1,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0.186062723,101,196,0.406719685,Below Expectations
51,"Broyhill, Joel",934610,1154,93,1973-74,VA,10,0,2,2,2,2,0,109,1,1,1,1,38,3,3,3,0,2.420689583,3,196,0.542098224,Exceeds Expectations
52,"Buchanan, John",930106,10706,93,1973-74,AL,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0.031010453,184,196,0.379643977,Below Expectations
53,"Burgener, Clair",930542,14007,93,1973-74,CA,42,0,0,0,0,0,0,8,0,0,0,0,3,1,1,1,1,0.137053624,125,196,0.271341175,Meets Expectations
54,"Burke, Yvonne",930537,14008,93,1973-74,CA,37,1,0,0,0,0,0,17,0,0,0,0,2,1,1,0,0,0.127396137,201,244,0.483736724,Below Expectations
55,"Burke, James",932111,1265,93,1973-74,MA,11,1,1,1,1,0,0,77,0,0,0,0,6,0,0,0,0,0.789164543,112,244,0.673266649,Meets Expectations
56,"Burke, J.",930912,11007,93,1973-74,FL,12,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0.320441335,61,196,0.352568269,Meets Expectations
57,"Burleson, Omar",934317,1282,93,1973-74,TX,17,1,1,0,0,0,0,23,0,0,0,0,1,0,0,0,0,0.130243897,200,244,0.835720897,Below Expectations
58,"Burlison, Bill",932510,12004,93,1973-74,MO,10,1,0,0,0,0,0,11,1,1,1,1,1,1,1,1,1,0.613518059,127,244,0.53788811,Meets Expectations
59,"Burton, John",930506.2,14076,93,1973-74,CA,6,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0.008269454,243,244,0.483736724,Below Expectations
60,"Burton, Phillip",930505,10577,93,1973-74,CA,5,1,1,1,1,1,0,44,2,2,2,2,49,7,7,5,5,2.33256197,47,244,1.530341387,Exceeds Expectations
61,"Butler, M.",934606,13055,93,1973-74,VA,6,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0.0113705,194,196,0.271341175,Below Expectations
62,"Byron, Goodloe",932006,13008,93,1973-74,MD,6,1,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0.124041811,204,244,0.510812402,Below Expectations
63,"Camp, John",933606,12006,93,1973-74,OK,6,0,0,0,0,0,0,16,1,1,1,0,3,1,1,1,1,0.468477607,46,196,0.325492561,Meets Expectations
64,"Carey, Hugh",933215,10508,93,1973-74,NY,15,1,2,1,1,1,1,56,0,0,0,0,9,0,0,0,0,1.245460868,83,244,0.646190941,Exceeds Expectations
65,"Carney, Charles",933519,12044,93,1973-74,OH,19,1,1,1,1,1,1,56,1,1,1,1,1,1,1,1,1,1.782486439,68,244,1.449114203,Meets Expectations
66,"Carter, Tim",931705,10710,93,1973-74,KY,5,0,0,0,0,0,0,41,0,0,0,0,1,1,1,1,1,0.305543751,64,196,0.379643977,Meets Expectations
67,"Casey, Bob",934322,1577,93,1973-74,TX,22,1,2,2,2,2,2,19,0,0,0,0,1,0,0,0,0,1.972013354,58,244,1.611568451,Meets Expectations
68,"Cederberg, Elford",932210,1610,93,1973-74,MI,10,0,0,0,0,0,0,16,0,0,0,0,2,1,1,1,1,0.177367225,106,196,0.542098224,Below Expectations
69,"Chamberlain, Charles",932206,1620,93,1973-74,MI,6,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0.087862954,150,196,0.487946808,Below Expectations
70,"Chappell, Bill",930904,12007,93,1973-74,FL,4,1,1,1,1,1,1,42,2,2,2,2,4,0,0,0,0,2.083651066,54,244,0.53788811,Exceeds Expectations
71,"Chisholm, Shirley",933212,12008,93,1973-74,NY,12,1,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0.019639954,238,244,0.53788811,Below Expectations
